@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,
01:11.7,74,73.04,198000000,,,,,
01:21.8,75,74.1,198000000,,,,,
01:31.9,49,48.32,199000000,,,,,
01:42.1,132,131.07,199000000,,,,,
01:52.2,53,52.86,199000000,,,,,
02:02.4,56,55.55,199000000,,,,,
02:12.5,50,49.78,199000000,,,,,
02:22.7,61,60.9,200000000,,,,,
02:32.8,66,65.75,200000000,,,,,
02:43.0,58,57.3,200000000,,65.85,101.9,68,28.96928886
02:53.1,49,48.74,200000000,,,,,
03:03.2,49,48.64,200000000,,,,,
03:13.3,92,91.64,201000000,,,,,
03:23.5,78,77.16,201000000,,,,,
03:33.6,58,57.66,201000000,,,,,
03:43.7,64,63.53,201000000,,,,,
03:53.8,55,54.41,201000000,,,,,
04:04.0,55,54.04,201000000,,,,,
04:14.1,52,51.81,201000000,,,,,
04:24.2,59,58.26,201000000,,,,,
04:34.4,56,55.61,201000000,,,,,
04:44.5,65,64.84,201000000,,,,,
04:54.6,53,52.2,201000000,,,,,
05:04.7,65,64.17,201000000,,,,,
05:14.9,70,69.55,201000000,,,,,
05:25.0,72,71.29,201000000,,,,,
05:35.1,61,60.31,201000000,,,,,
05:45.2,60,59.72,201000000,,,,,
05:55.3,49,48.25,201000000,,,,,
06:05.4,64,63.87,201000000,,,,,
06:15.7,65,64.85,201000000,,,,,
06:25.8,84,83.18,201000000,,,,,
06:36.0,66,65.97,201000000,,,,,
06:46.1,53,52.47,201000000,,,,,
06:56.2,53,52.02,201000000,,,,,
07:06.4,51,50.29,201000000,,,,,
07:16.6,62,61.73,201000000,,,,,
07:26.8,66,65.48,201000000,,,,,
07:37.0,48,47.96,201000000,,,,,
07:47.1,50,49.41,201000000,,,,,
07:57.2,66,65.98,201000000,,,,,
08:07.3,65,64.65,201000000,,,,,
08:17.4,63,62.07,201000000,,,,,
08:27.6,57,56.51,201000000,,,,,
08:37.7,65,64.12,201000000,,,,,
08:47.8,53,52.77,201000000,,,,,
08:57.9,49,48.22,201000000,,,,,
09:08.0,52,51.58,201000000,,,,,
09:18.2,64,63.92,201000000,,,,,
09:28.3,54,53.17,201000000,,,,,
09:38.4,95,94.67,201000000,,,,,
09:48.6,53,52.8,201000000,,,,,
09:58.7,65,64.52,201000000,,,,,
10:08.8,50,49.48,201000000,,,,,
10:19.0,61,60.02,201000000,,,,,
10:29.1,53,52.09,201000000,,,,,
10:39.2,65,64.29,201000000,,,,,
10:49.4,50,49.96,201000000,,,,,
10:59.5,49,48.06,201000000,,,,,
11:09.6,48,47.64,201000000,,,,,
11:19.7,75,74.99,201000000,,,,,
11:29.9,136,135.01,201000000,,,,,
11:40.0,51,50.88,201000000,,,,,
11:50.4,266,265.42,201000000,,,,,
12:00.5,56,55.62,201000000,,,,,
12:10.6,62,61.22,201000000,,,,,
12:20.7,55,54.03,201000000,,,,,
12:30.8,56,55.25,201000000,,,,,
12:40.9,52,51.77,201000000,,,,,
12:51.0,67,66.53,201000000,,,,,
13:01.2,66,65.36,201000000,,,,,
13:11.3,48,47.4,201000000,,,,,
13:21.4,60,59.15,201000000,,,,,
13:32.0,66,65.18,201000000,,,,,
13:42.1,75,74.03,201000000,,,,,
13:52.3,56,55.69,201000000,,,,,
14:02.4,52,51.57,201000000,,,,,
14:12.5,52,51.82,201000000,,,,,
14:22.6,68,67.95,201000000,,,,,
14:32.9,54,53.7,201000000,,,,,
14:43.0,64,63.7,201000000,,,,,
14:53.1,55,54.44,201000000,,,,,
15:03.2,65,64.14,201000000,,,,,
15:13.3,51,50.2,201000000,,,,,
15:23.5,66,65.26,201000000,,,,,
15:33.6,52,51.72,201000000,,,,,
15:43.7,57,56.25,201000000,,,,,
15:53.9,102,101.45,201000000,,,,,
16:04.1,45,44.83,201000000,,,,,
16:14.3,65,64.86,201000000,,,,,
16:24.4,70,69.68,201000000,,,,,
16:34.5,80,79.5,201000000,,,,,
16:44.6,50,49.75,201000000,,,,,
16:54.7,61,60.76,201000000,,,,,
17:04.8,68,67.91,201000000,,,,,
17:15.0,100,99.41,201000000,,,,,
17:25.3,204,203.72,201000000,,,,,
17:36.0,70,69.92,201000000,,,,,
17:46.1,67,66.22,201000000,,,,,
17:56.2,45,44.79,201000000,,,,,