@timestamp,@billedDuration,@duration,@maxMemoryUsed,@initDuration,,,,,
26:05.3,52,51.23,199000000,,,,,,
26:15.5,79,78.26,201000000,,,192.52,1008.8,84,548.4870187
26:25.7,80,79.02,201000000,,,,,,
26:35.8,68,67.53,201000000,,,,,,
26:46.0,88,87.04,201000000,,,,,,
26:56.1,78,77.79,201000000,,,,,,
27:06.2,60,59.79,201000000,,,,,,
27:16.3,70,69.6,201000000,,,,,,
27:26.4,67,66.1,201000000,,,,,,
27:36.6,68,67.5,201000000,,,,,,
27:46.7,74,73.69,201000000,,,,,,
27:56.9,79,78.68,201000000,,,,,,
28:07.0,85,84.53,201000000,,,,,,
28:17.1,73,72.56,201000000,,,,,,
28:27.3,114,113.73,201000000,,,,,,
28:37.4,74,73.22,201000000,,,,,,
28:47.4,56,55.51,201000000,,,,,,
28:57.6,72,71.92,201000000,,,,,,
29:07.7,61,60.08,201000000,,,,,,
29:19.7,1924,1923.33,201000000,,,,,,
29:29.9,70,69.07,201000000,,,,,,
29:40.0,69,68.84,201000000,,,,,,
29:50.1,85,84.2,201000000,,,,,,
30:00.2,70,69.95,201000000,,,,,,
30:10.4,69,68.41,201000000,,,,,,
30:20.5,70,69.47,201000000,,,,,,
30:30.8,82,81.46,201000000,,,,,,
30:41.0,80,79.55,201000000,,,,,,
30:51.1,52,51.4,201000000,,,,,,
31:01.2,84,83.94,201000000,,,,,,
31:11.3,71,70.42,201000000,,,,,,
31:21.5,100,99.82,201000000,,,,,,
31:31.6,68,67.89,201000000,,,,,,
31:43.5,1927,1926.85,201000000,,,,,,
31:53.7,57,56.42,201000000,,,,,,
32:03.9,72,71.87,201000000,,,,,,
32:14.0,80,79.48,201000000,,,,,,
32:24.2,85,84,201000000,,,,,,
32:34.4,100,99.07,201000000,,,,,,
32:44.5,64,63.53,201000000,,,,,,
32:54.6,80,79.25,201000000,,,,,,
33:04.8,74,73.69,201000000,,,,,,
33:14.9,69,68.78,201000000,,,,,,
33:29.4,4423,4422.75,201000000,,,,,,
33:39.6,85,84.23,201000000,,,,,,
33:49.7,70,69.66,201000000,,,,,,
34:00.6,872,871.41,201000000,,,,,,
34:10.9,119,118.52,201000000,,,,,,
34:21.6,69,68.49,201000000,,,,,,
34:31.8,68,67.69,201000000,,,,,,
34:42.0,70,69.54,201000000,,,,,,
34:52.2,120,119.12,201000000,,,,,,
35:02.3,77,76.49,201000000,,,,,,
35:12.4,73,72.28,201000000,,,,,,
35:22.5,57,56.12,201000000,,,,,,
35:32.6,62,61.63,201000000,,,,,,
35:42.8,78,77.39,201000000,,,,,,
35:52.9,100,99.23,201000000,,,,,,
36:03.1,68,67.98,201000000,,,,,,
36:13.2,68,67.67,201000000,,,,,,
36:23.6,82,81.67,201000000,,,,,,
36:33.8,56,55.56,201000000,,,,,,
36:44.0,75,74.27,201000000,,,,,,
36:54.1,64,63.63,201000000,,,,,,
37:04.3,64,63.55,201000000,,,,,,
37:15.4,1016,1015.18,201000000,,,,,,
37:25.7,68,67.99,201000000,,,,,,
37:35.8,78,77.95,201000000,,,,,,
37:47.9,2043,2042.9,201000000,,,,,,
37:58.1,69,68.42,201000000,,,,,,
38:08.2,84,83.93,201000000,,,,,,
38:18.3,81,80.6,201000000,,,,,,
38:28.5,124,123.1,201000000,,,,,,
38:38.8,77,76.28,201000000,,,,,,
38:48.9,81,80.03,201000000,,,,,,
38:59.1,75,74.52,201000000,,,,,,
39:09.3,71,70.66,201000000,,,,,,
39:19.4,64,63.75,201000000,,,,,,
39:29.5,77,76.88,201000000,,,,,,
39:39.6,65,64.09,201000000,,,,,,
39:49.8,73,72.23,201000000,,,,,,
39:59.9,68,67.53,201000000,,,,,,
40:10.0,69,68.71,201000000,,,,,,
40:20.1,68,67.13,201000000,,,,,,
40:30.3,70,69.92,201000000,,,,,,
40:40.4,86,85.56,201000000,,,,,,
40:50.6,84,83.46,201000000,,,,,,
41:00.8,77,76.75,201000000,,,,,,
41:10.9,82,81.73,201000000,,,,,,
41:21.0,74,73.87,201000000,,,,,,
41:31.2,70,69.63,201000000,,,,,,
41:41.5,75,74.83,201000000,,,,,,
41:51.7,75,74.1,201000000,,,,,,
42:01.8,77,76.55,201000000,,,,,,
42:12.0,52,51.48,201000000,,,,,,
42:22.2,82,81.1,201000000,,,,,,
42:32.3,68,67.55,201000000,,,,,,
42:42.4,60,59.27,201000000,,,,,,
42:52.6,76,75.95,201000000,,,,,,
43:02.7,73,72.08,201000000,,,,,,