@timestamp,@billedDuration,@duration,@maxMemoryUsed,,,
08:03.0,2426,350.57,128000000,,,
19:21.5,2278,284.95,128000000,,,
30:39.6,3167,375.9,128000000,,,
17:26.7,3681,1521.09,128000000,,,
28:45.5,2496,298.86,128000000,,,
40:04.7,2358,313.61,128000000,,,
51:24.1,3292,330.08,128000000,,2569.15,3682.85
02:44.9,2169,293.82,128000000,,,
14:02.1,2469,294.09,128000000,,,
25:18.5,2227,296.24,128000000,,,
36:37.1,2256,298,128000000,,,
47:53.3,2332,248.43,128000000,,,
59:07.0,2191,269.23,128000000,,,
10:27.8,2663,347.81,128000000,,,
21:47.9,2541,262.61,128000000,,,
33:06.2,2285,213.86,128000000,,,
44:26.2,2168,158.02,128000000,,,
55:43.7,2394,315.08,128000000,,,
07:03.8,3718,1799.84,128000000,,,
18:22.4,2272,279.52,128000000,,,