@timestamp,@billedDuration,@duration,@initDuration
2022-01-08 20:10:22.866,998,997.81,433.11
2022-01-08 20:21:33.444,984,983.06,436.74
2022-01-08 20:32:05.080,971,970.83,445.07
2022-01-08 20:42:35.719,984,983.65,447.33
2022-01-08 20:53:06.170,991,990.51,443.48
2022-01-08 21:03:36.332,956,955.43,444.18
2022-01-08 21:14:08.489,962,961.23,438.33
2022-01-08 21:24:38.345,1040,1039.67,445.28
2022-01-08 21:35:09.740,996,995.46,443.29
2022-01-08 21:45:40.840,947,946.03,434.21
2022-01-08 21:56:10.652,1037,1036.45,466.89
2022-01-08 22:06:44.322,1002,1001.52,454.9
2022-01-08 22:17:18.665,995,994.35,441.94
2022-01-08 22:27:49.342,996,995.7,462.08
2022-01-08 22:38:20.246,988,987.81,444.57
2022-01-08 22:48:50.820,967,966.67,448.46
2022-01-08 22:59:20.629,1033,1032.67,463.67
2022-01-08 23:09:50.609,970,969.5,450.95
2022-01-08 23:20:21.301,998,997.98,462.1
2022-01-08 23:30:51.641,969,968.71,439.81
2022-01-08 23:41:22.483,972,971.42,442.16
2022-01-08 23:51:53.761,1005,1004.4,439.95
2022-01-09 00:02:33.166,1006,1005.81,463.3
2022-01-09 00:13:05.843,973,972.22,439.25
2022-01-09 00:23:38.348,991,990.41,449.62
2022-01-09 00:34:08.174,959,958.69,442.8
2022-01-09 00:44:41.721,985,984.24,444.15
2022-01-09 00:55:13.261,970,969.17,439.45
2022-01-09 02:22:26.670,965,964,449.03
2022-01-09 02:32:49.204,997,996.49,453.67
2022-01-09 02:43:08.708,1031,1030.84,444.69
2022-01-09 02:53:29.321,996,995.17,460.98
2022-01-09 03:03:49.845,968,967.08,433.37
2022-01-09 03:14:10.065,994,993.25,455.16
2022-01-09 03:24:31.265,997,996.19,455.83
2022-01-09 03:34:52.481,985,984.01,448.22
2022-01-09 03:45:12.851,957,956.98,440.21
2022-01-09 03:55:33.785,1007,1006.35,454.49
2022-01-09 04:05:53.642,963,962.05,442.2
2022-01-09 04:16:15.546,969,968.86,431.94
2022-01-09 04:26:24.770,1008,1007.5,441.86
2022-01-09 04:36:44.903,985,984.06,450.23
2022-01-09 04:46:51.982,966,965.86,439.18
2022-01-09 04:57:13.426,944,943.85,428.33
2022-01-09 05:07:35.265,1027,1026.5,473.71
2022-01-09 05:17:55.467,977,976.01,447.13
2022-01-09 05:28:17.385,970,969.28,435.04
2022-01-09 05:38:24.988,969,968.01,443.58
2022-01-09 05:48:45.251,965,964.37,447.21
2022-01-09 05:59:05.350,970,969.35,436.79
2022-01-09 06:09:26.239,953,952.17,434.4
2022-01-09 06:19:47.685,988,987.66,444.6
2022-01-09 06:30:08.989,1015,1014.05,466.32
2022-01-09 06:40:29.682,985,984.14,449.2
2022-01-09 06:50:49.573,1003,1002.18,473.91
2022-01-09 07:01:10.769,988,987.47,441.12
2022-01-09 07:11:18.665,1002,1001.61,446.29
2022-01-09 07:21:40.019,1010,1009.36,441.08
2022-01-09 07:31:46.767,958,957.98,440.4
2022-01-09 07:42:08.208,971,970.4,436.95
2022-01-09 07:52:32.442,988,987.9,455.29
2022-01-09 08:02:52.623,968,967.12,434.56
2022-01-09 08:13:14.286,967,966.48,435.59
2022-01-09 08:23:35.805,965,964.71,447.28
2022-01-09 08:33:56.434,965,964.7,440.66
2022-01-09 08:44:17.860,940,939.09,431.8
2022-01-09 08:54:38.904,968,967.44,443.72
2022-01-09 09:04:59.392,938,937.89,425.63
2022-01-09 09:25:40.886,964,963.77,436.96
2022-01-09 09:36:02.061,955,954.76,430.41
2022-01-09 09:46:24.001,1002,1001.74,462.76
2022-01-09 09:56:45.125,969,968.38,440.05
2022-01-09 10:07:06.125,999,998.95,453.52
2022-01-09 10:17:25.627,968,967.82,445.19
2022-01-09 10:27:48.501,979,978.35,454.82
2022-01-09 10:38:08.879,1007,1006.61,444.02
2022-01-09 10:48:29.811,956,955.12,439.12
2022-01-09 10:58:50.403,992,991.63,454.21
2022-01-09 11:09:11.669,991,990.64,438.28
2022-01-09 11:19:33.111,991,990.53,459.95
2022-01-09 11:29:53.929,973,972.6,447.62
2022-01-09 11:40:14.201,958,957.42,430.82
2022-01-09 11:50:36.021,991,990.41,462.12
2022-01-09 12:00:56.370,1018,1017.53,460.13
2022-01-09 12:11:16.025,986,985.94,454.67
2022-01-09 12:21:23.826,963,962.46,438.84
2022-01-09 12:31:45.664,954,953.53,438.31
2022-01-09 12:42:06.964,953,952.06,443.85
2022-01-09 12:52:31.142,946,945.71,431.31
2022-01-09 13:02:50.993,973,972.3,451.92
2022-01-09 13:13:12.087,1006,1005.76,459.94
2022-01-09 13:23:32.029,950,949.02,426.89
2022-01-09 13:33:51.679,991,990.14,447.85
2022-01-09 13:44:11.942,971,970.24,443.74
2022-01-09 13:54:32.700,1056,1055.84,439.92
2022-01-09 14:04:40.203,983,982.19,451.69
2022-01-09 14:14:59.791,979,978.79,446.91
2022-01-09 14:25:21.065,982,981.48,442.46
2022-01-09 14:35:28.879,952,951.9,430.15
2022-01-09 14:45:50.906,1021,1020.67,460.95
2022-01-09 14:56:11.444,996,995.1,460.95
2022-01-09 15:06:31.693,977,976.34,444.14
2022-01-09 15:16:51.014,992,991.6,461.28
2022-01-09 15:27:10.772,1026,1025.27,481.73
2022-01-09 15:37:32.305,994,993.97,455.4
2022-01-09 15:47:53.366,959,958.81,441.45
2022-01-09 15:58:14.103,1002,1001.8,452.33
2022-01-09 16:08:21.181,1017,1016.73,459.47
2022-01-09 16:18:42.404,993,992.53,450.11
2022-01-09 16:29:01.819,974,973.09,437.03
2022-01-09 16:39:08.949,991,990.87,449.74
2022-01-09 16:49:29.621,959,958.09,438.52
2022-01-09 16:59:36.849,963,962.09,438
2022-01-09 17:09:57.709,965,964.61,443.24
2022-01-09 17:20:18.410,974,973.67,435.47
2022-01-09 17:30:38.542,974,973.34,440.55
2022-01-09 17:40:59.144,953,952.93,431.1
2022-01-09 17:51:18.925,992,991.64,443.29
2022-01-09 18:01:26.622,973,972.44,444.1
2022-01-09 18:11:47.778,1015,1014.8,447.25
2022-01-09 18:22:10.421,983,982.01,446.58
2022-01-09 18:32:29.869,964,963.66,444.85
2022-01-09 18:42:50.012,923,922.05,416.4
2022-01-09 18:53:10.945,1005,1004.71,464.29
2022-01-09 19:03:31.265,979,978.09,446.1
2022-01-09 19:13:51.034,960,959.73,437.91
2022-01-09 19:24:11.869,971,970.68,445.76
2022-01-09 19:34:32.364,971,970.64,437.44
2022-01-09 19:44:39.591,1005,1004.92,453.82
2022-01-09 19:54:58.710,967,966.9,438.52
2022-01-09 20:05:19.706,944,943.99,433.91
2022-01-09 20:15:42.621,983,982.88,450.25
2022-01-09 20:26:03.119,959,958.16,432.13
2022-01-09 20:36:24.264,1008,1007.46,444.58
2022-01-09 20:46:45.170,993,992.44,446.75
2022-01-09 20:56:52.826,976,975.45,445.69
2022-01-09 21:07:13.988,985,984.22,455.07
2022-01-09 21:17:34.322,973,972.21,437.72
2022-01-09 21:27:55.719,1001,1000.92,458.12
2022-01-09 21:38:15.539,992,991.84,450.31
2022-01-09 21:48:36.145,988,987.3,441.43
2022-01-09 21:58:56.652,976,975.84,442.13
2022-01-09 22:09:17.409,991,990.2,454.73
2022-01-09 22:19:37.671,964,963.02,438.88
2022-01-09 22:29:44.668,968,967.21,443.65
2022-01-09 22:40:03.326,972,971.91,440.34
2022-01-09 22:50:24.565,975,974.06,434.42
2022-01-09 23:00:45.055,969,968.12,437.82
2022-01-09 23:11:05.963,952,951.89,435.22
2022-01-09 23:21:26.227,963,962.22,441.09
2022-01-09 23:31:46.526,1003,1002.06,459.39
2022-01-09 23:42:07.965,1000,999.57,448.2
2022-01-09 23:52:32.390,963,962.45,450.67
2022-01-10 00:02:38.913,959,958.74,437.51
2022-01-10 00:12:59.122,969,968.43,437.55
2022-01-10 00:23:19.673,980,979.6,448.97
2022-01-10 00:33:40.642,1018,1017.66,450.88
2022-01-10 00:44:01.244,956,955.7,444.6
2022-01-10 00:54:21.020,1000,999.06,453.14
2022-01-10 01:04:41.726,1027,1026.95,466.48
2022-01-10 01:15:02.148,986,985.78,438.64
2022-01-10 01:25:21.970,1009,1008.94,458.77
2022-01-10 01:35:42.454,997,996.94,448
2022-01-10 01:46:02.430,961,960.32,433.07
2022-01-10 01:56:23.122,972,971.4,441.64
2022-01-10 02:06:42.805,1005,1004.14,460.62
2022-01-10 02:17:04.213,982,981.34,435.06