@timestamp,@billedDuration,@duration,@initDuration,total,1699.6285,1734.2375
21:20.2,1223,1222.25,447.6,1670.6,,
31:50.5,1247,1246.37,449.44,1696.44,,
42:22.4,1263,1262.16,445.95,1708.95,,
52:53.6,1243,1242.3,445.66,1688.66,,
03:23.4,1220,1219.83,431.98,1651.98,,
13:54.7,1261,1260.68,445.55,1706.55,,
24:25.4,1278,1277.97,452,1730,,
34:56.0,1275,1274.08,458.71,1733.71,,
45:29.1,1265,1264.14,454.55,1719.55,,
55:58.2,1258,1257.8,450.07,1708.07,,
06:30.3,1282,1281.56,462.26,1744.26,,
17:03.2,1232,1231.04,445.03,1677.03,,
27:36.2,1269,1268.55,449.64,1718.64,,
38:07.5,1266,1265.59,450.76,1716.76,,
48:37.9,1268,1267.21,461.92,1729.92,,
59:08.1,1215,1214.7,434.46,1649.46,,
09:38.1,1241,1240.89,439.67,1680.67,,
20:08.3,1239,1238.63,434.23,1673.23,,
30:39.2,1231,1230.51,451.62,1682.62,,
41:09.0,1265,1264.14,440.47,1705.47,,