@timestamp,@billedDuration,@duration,@initDuration,total,,,
10:37.3,1767,1766.23,476.11,2243.11,,,
22:12.9,1761,1760.38,465.52,2226.52,,,
33:48.8,1782,1781.69,489.3,2271.3,,,
45:22.5,1776,1775.05,462.77,2238.77,,,
56:57.2,1763,1762.8,470.98,2233.98,,,
08:35.6,1757,1756.04,497.42,2254.42,,,
20:10.0,1750,1749.26,459.91,2209.91,,,
31:47.2,1763,1762.52,462.26,2225.26,,2241.923,2280.613
43:21.1,1826,1825.63,498.94,2324.94,,,
54:55.2,1759,1758.32,479.23,2238.23,,,
06:30.9,1747,1746.26,462.67,2209.67,,,
18:07.7,1774,1773.76,483.92,2257.92,,,
29:41.2,1740,1739.69,461.98,2201.98,,,
41:16.1,1801,1800.76,465.57,2266.57,,,
52:47.6,1794,1793.92,460.2,2254.2,,,
04:22.6,1765,1764.34,457.24,2222.24,,,
15:59.5,1745,1744.16,448.23,2193.23,,,
27:31.5,1777,1776.08,501.28,2278.28,,,
39:07.8,1777,1776.7,484.63,2261.63,,,
50:40.6,1753,1752.07,473.3,2226.3,,,